# Genome	Order	Family	Subfamily	Genus	Class	Virus Name	GenBank Accession Number	RefSeq Accession Number	Accession number used	Sequence description	Host
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyokappapapillomavirus	Papillomaviridae	Dyokappapapillomavirus 1 (Ovis aries papillomavirus 3)	FJ796965		FJ796965	Ovine papillomavirus type 3 isolate Sar1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyokappapapillomavirus	Papillomaviridae	Dyokappapapillomavirus 2 (Rupicapra rupicapra papillomavirus 1)	KC876045	NC_023895	KC876045	Rupicapra rupicapra papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyolambdapapillomavirus	Papillomaviridae	Dyolambdapapillomavirus 1 (Bettongia penicillata papillomavirus 1)	GU220391	NC_014143	GU220391	Bettongia penicillata papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyomupapillomavirus	Papillomaviridae	Dyomupapillomavirus 1 (Morelia spilota papillomavirus 1)	HQ262535	NC_016013	HQ262535	Morelia spilota papillomavirus 1 isolate Zurich 2009, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyonupapillomavirus	Papillomaviridae	Dyonupapillomavirus 1 (Zalophus californianus papillomavirus 1)	HQ293213	NC_015325	HQ293213	Zalophus californianus papillomavirus 1 strain ZcPV1_2008, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyoomegapapillomavirus	Papillomaviridae	Dyoomegapapillomavirus 1 (Eptesicus serotinus papillomavirus 2)	KC858264		KC858264	Eptesicus serotinus papillomavirus type 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyoomikronpapillomavirus	Papillomaviridae	Dyoomikronpapillomavirus 1 (Saimiri sciureus papillomavirus 1)	JF304765	NC_023496	JF304765	Saimiri sciureus papillomavirus type 1 isolate Mac2066, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyophipapillomavirus	Papillomaviridae	Dyophipapillomavirus 1 (Talpa europaea papillomavirus 1)	KC460986		KC460986	Talpa europaea papillomavirus isolate Bruges/2009/05, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyopipapillomavirus	Papillomaviridae	Dyopipapillomavirus 1 (Phocoena phocoena papillomavirus 4)	GU117623	NC_018076	GU117623	Phocoena phocoena papillomavirus 4, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyopsipapillomavirus	Papillomaviridae	Dyopsipapillomavirus 1 (Eptesicus serotinus papillomavirus 1)	KC858263		KC858263	Eptesicus serotinus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyorhopapillomavirus	Papillomaviridae	Dyorhopapillomavirus 1 (Equine papillomavirus 6)	JQ965698	NC_020500	JQ965698	Equine papillomavirus type 6, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyosigmapapillomavirus	Papillomaviridae	Dyosigmapapillomavirus 1 (Castor canadensis papillomavirus 1)	KC020689	NC_023178	KC020689	Castor canadensis papillomavirus type 1 isolate CcanPV1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyotaupapillomavirus	Papillomaviridae	Dyotaupapillomavirus 1 (Miniopterus schreibersii papillomavirus 1)	JQ692938		JQ692938	Miniopterus schreibersii papillomavirus 1 strain TT20F, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyothetapapillomavirus	Papillomaviridae	Dyothetapapillomavirus 1 (Feline papillomavirus 2)	EU796884		EU796884	Feline papillomavirus type 2 isolate Main Coon 2007, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyoupsilonpapillomavirus	Papillomaviridae	Dyoupsilonpapillomavirus 1 (Eidolon helvum papillomavirus 1)	JX123128		JX123128	Eidolon helvum papillomavirus type 1 E6 (E6), E7 (E7), E1 (E1), E2 (E2), L2 (L2), and L1 (L1) genes, complete cds.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyoxipapillomavirus	Papillomaviridae	Dyoxipapillomavirus 1 (Bos taurus papillomavirus 7)	DQ217793	NC_007612	DQ217793	Bovine papillomavirus 7, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Dyozetapapillomavirus	Papillomaviridae	Dyozetapapillomavirus 1 (Caretta caretta papillomavirus 1)	EU493092	NC_011530	EU493092	Caretta caretta papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Epsilonpapillomavirus	Papillomaviridae	Cervus papillomavirus 2	KU350625	NC_030151	KU350625	Cervus papillomavirus 2 isolate BernieDPV, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Epsilonpapillomavirus	Papillomaviridae	Epsilonpapillomavirus 1 (Bovine papillomavirus 5)	AF457465	NC_004195	AF457465	Bovine papillomavirus type 5, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Etapapillomavirus	Papillomaviridae	Etapapillomavirus 1 (Fringilla coelebs papillomavirus)	AY057109	NC_004068	AY057109	Fringilla coelebs papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 1 (Human papillomavirus 4)	X70827	NC_001457	X70827	Human papillomavirus type 4 complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 10 (Human papillomavirus 121)	GQ845443	NC_014185	GQ845443	Human papillomavirus type 121, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 11 (Human papillomavirus 126)	AB646346	NC_016157	AB646346	Human papillomavirus type 126 DNA, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 12 (Human papillomavirus 127)	HM011570	NC_014469	HM011570	Gammapapillomavirus HPV127 isolate R3a, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 13 (Human papillomavirus 128)	GU225708	NC_014952	GU225708	Human papillomavirus type 128, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 14 (Human papillomavirus 131)	GU117631	NC_014954	GU117631	Human papillomavirus type 131, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 15 (Human papillomavirus 135)	HM999987	NC_017993	HM999987	Human papillomavirus type 135 isolate NJ3500, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 16 (Human papillomavirus 137)	HM999989	NC_017995	HM999989	Human papillomavirus type 137 isolate NJ2801H, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 17 (Human papillomavirus 144)	HM999996	NC_017997	HM999996	Human papillomavirus type 144 isolate CL3740, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 18 (Human papillomavirus 156)	JX429973	NC_033781	JX429973	Human papillomavirus type 156 isolate GC01, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 19 (Human papillomavirus 161)	JX413109		JX413109	Human papillomavirus type 161 isolate KC1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 2 (Human papillomavirus 48)	U31789	NC_001690	U31789	Human papillomavirus type 48, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 20 (Human papillomavirus 163)	JX413107	NC_028125	JX413107	Human papillomavirus type 163 isolate KC3, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 21 (Human papillomavirus 167)	KC862318	NC_022892	KC862318	Human papillomavirus type 167 isolate KC10, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 22 (Human papillomavirus 172)	KF006399		KF006399	Human papillomavirus type 172, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 23 (Human papillomavirus 175)	KC108721		KC108721	Human papillomavirus type 175 isolate SE87, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 24 (Human papillomavirus 178)	KJ130020	NC_023891	KJ130020	Human papillomavirus type 178, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 25 (Human papillomavirus 184)	HG530535		HG530535	Human papillomavirus type 184 complete genome, isolate SIBX17.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 3 (Human papillomavirus 50)	U31790	NC_001691	U31790	Human papillomavirus type 50, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 4 (Human papillomavirus 60)	U31792	NC_001693	U31792	Human papillomavirus type 60, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 5 (Human papillomavirus 88)	EF467176	NC_010329	EF467176	Human papillomavirus type 88, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 6 (Human papillomavirus 101)	DQ080081	NC_008189	DQ080081	Human papillomavirus type 101, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 7 (Human papillomavirus 109)	EU541441	NC_012485	EU541441	Human papillomavirus type 109, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 8 (Human papillomavirus 112)	EU541442	NC_012486	EU541442	Human papillomavirus type 112, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Gammapapillomavirus 9 (Human papillomavirus 116)	FJ804072	NC_013035	FJ804072	Human papillomavirus type 116 strain HPV116, complete sequence.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 103	DQ080078	NC_008188	DQ080078	Human papillomavirus type 103, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 108	FM212639	NC_012213	FM212639	Human papillomavirus type 108, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 129	GU233853	NC_014953	GU233853	Human papillomavirus type 129, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 132	GU117632	NC_014955	GU117632	Human papillomavirus type 132, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 134	GU117634	NC_014956	GU117634	Human papillomavirus type 134, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 166	JX413104	NC_019023	JX413104	Human papillomavirus type 166 isolate KC9, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus 201	KP692115	NC_027528	KP692115	Human papillomavirus type 201 isolate HPV201, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Gammapapillomavirus	Papillomaviridae	Human papillomavirus KC5	JX444073	NC_026946	JX444073	Human papillomavirus KC5, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Iotapapillomavirus	Papillomaviridae	Iotapapillomavirus 1 (Multimammate rat papillomavirus)	U01834	NC_001605	U01834	Multimammate rat papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Kappapapillomavirus	Papillomaviridae	Kappapapillomavirus 1 (Rabbit oral papillomavirus)	AF227240	NC_002232	AF227240	Rabbit oral papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Kappapapillomavirus	Papillomaviridae	Kappapapillomavirus 2 (Cottontail rabbit (Shope) papillomavirus)	K02708	NC_001541	K02708	Cottontail rabbit (Shope) papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Enhydra lutris papillomavirus 1	KJ410351	NC_023873	KJ410351	Enhydra lutris papillomavirus 1 isolate 6898-13, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Lambdapapillomavirus 1 (Felis domesticus papillomavirus 1)	AF480454	NC_004765	AF480454	Felis domesticus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Lambdapapillomavirus 2 (Canine oral papillomavirus)	D55633	NC_001619	D55633	Canine oral papillomavirus complete genome sequence.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Lambdapapillomavirus 3 (Canis familiaris papillomavirus 6)	FJ492744	NC_013237	FJ492744	Canine papillomavirus 6 isolate Zurich, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Lambdapapillomavirus 4 (Procyon lotor papillomavirus 1)	AY763115	NC_007150	AY763115	Procyon lotor papillomavirus type 1 isolate Z146-02, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Lambdapapillomavirus	Papillomaviridae	Lambdapapillomavirus 5 (Crocuta crocuta papillomavirus 1)	HQ585856	NC_018575	HQ585856	Crocuta crocuta papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Mupapillomavirus	Papillomaviridae	Mupapillomavirus 1 (Human papillomavirus 1a)	V01116	NC_001356	V01116	Human papilloma virus type 1a E6, E8, E7, L2 & L2 genes.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Mupapillomavirus	Papillomaviridae	Mupapillomavirus 2 (Human papillomavirus 63)	X70828	NC_001458	X70828	Human papillomavirus type 63 complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Mupapillomavirus	Papillomaviridae	Mupapillomavirus 3 (Human papillomavirus 204)	KP769769		KP769769	Human papillomavirus type 204 isolate A342, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Nupapillomavirus	Papillomaviridae	Nupapillomavirus 1 (Human papillomavirus 41)	X56147	NC_001354	X56147	Human papillomavirus type 41.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Omegapapillomavirus	Papillomaviridae	Omegapapillomavirus 1 (Ursus maritimus papillomavirus 1)	EF536349	NC_010739	EF536349	Ursus maritimus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Omikronpapillomavirus	Papillomaviridae	Omikronpapillomavirus 1 (Phocoena spinipinnis papillomavirus)	AJ238373	NC_003348	AJ238373	Phocoena spinipinnis papillomavirus complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Phipapillomavirus	Papillomaviridae	Phipapillomavirus 1 (Capra hircus papillomavirus 1)	DQ091200	NC_008032	DQ091200	Capra hircus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Pipapillomavirus	Papillomaviridae	Apodemus sylvaticus papillomavirus 1	HQ625440	NC_024893	HQ625440	Apodemus sylvaticus papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Pipapillomavirus	Papillomaviridae	Micromys minutus papillomavirus 1	DQ269468	NC_008582	DQ269468	Old World harvest mouse papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Pipapillomavirus	Papillomaviridae	Mus musculus papillomavirus type 1	GU808564	NC_014326	GU808564	Mus musculus papillomavirus type 1 isolate MusPV, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Pipapillomavirus	Papillomaviridae	Pipapillomavirus 1 (Mesocricetus auratus papillomavirus 1)	HG530538	NC_022647	HG530538	Mesocricetus auratus papillomavirus 1 complete genome, isolate APV10.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Pipapillomavirus	Papillomaviridae	Pipapillomavirus 2 (Mastomys coucha papillomavirus 2)	DQ664501	NC_008519	DQ664501	Mastomys coucha papillomavirus 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Psipapillomavirus	Papillomaviridae	Psipapillomavirus 1 (Rousettus aegyptiacus papillomavirus 1)	DQ366842	NC_008298	DQ366842	Rousettus aegyptiacus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Rhopapillomavirus	Papillomaviridae	Rhopapillomavirus 1 (Trichechus manatus papillomavirus 1)	AY609301	NC_006563	AY609301	Trichechus manatus latirostris papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Rhopapillomavirus	Papillomaviridae	Rhopapillomavirus 2 (Trichechus manatus papillomavirus 3)	KP205502		KP205502	Trichechus manatus papillomavirus 3 strain TmPV-3, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Sigmapapillomavirus	Papillomaviridae	Sigmapapillomavirus 1 (Erethizon dorsatum papillomavirus 1)	AY684126	NC_006951	AY684126	Erethizon dorsatum papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Taupapillomavirus	Papillomaviridae	Felis catus papillomavirus 4	KF147892	NC_022373	KF147892	Felis catus papillomavirus 4 isolate MY-3, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Taupapillomavirus	Papillomaviridae	Taupapillomavirus 1 (Canis familiaris papillomavirus 2)	AY722648	NC_006564	AY722648	Canine papillomavirus 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Taupapillomavirus	Papillomaviridae	Taupapillomavirus 2 (Canis familiaris papillomavirus 13)	JX141478	NC_023852	JX141478	Canine papillomavirus 13 isolate Zurich/2011, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Taupapillomavirus	Papillomaviridae	Taupapillomavirus 3 (Felis catus papillomavirus 3)	JX972168	NC_021472	JX972168	Felis catus papillomavirus-3, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Thetapapillomavirus	Papillomaviridae	Thetapapillomavirus 1 (Psittacus erithacus timneh papillomavirus)	AF502599	NC_003973	AF502599	Psittacus erithacus timneh papillomavirus, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Treisdeltapapillomavirus	Papillomaviridae	Treisdeltapapillomavirus 1 (Rhinolophus ferrumequinum papillomavirus 1)	KC858266		KC858266	Rhinolophus ferrumequinum papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Treisepsilonpapillomavirus	Papillomaviridae	Treisepsilonpapillomavirus 1 (Pygoscelis adeliae papillomavirus 1)	KJ173785	NC_023894	KJ173785	Pygoscelis adeliae papillomavirus isolate Crozier_2013, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Treisetapapillomavirus	Papillomaviridae	Treisetapapillomavirus 1 (Vulpes vulpes papillomavirus 1)	KF857586		KF857586	Vulpes vulpes papillomavirus 1 isolate ILAT 93957, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Treiszetapapillomavirus	Papillomaviridae	Treiszetapapillomavirus 1 (Fulmarus glacialis papillomavirus 1)	KJ452243	NC_024300	KJ452243	Fulmarus glacialis papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bandicoot papillomatosis carcinomatosis virus type 1	EU069819	NC_010107	EU069819	Bandicoot papillomatosis carcinomatosis virus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bandicoot papillomatosis carcinomatosis virus type 2	EU277647	NC_010817	EU277647	Bandicoot papillomatosis carcinomatosis virus type 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 13	KU519390	NC_030795	KU519390	Bos taurus papillomavirus 13 strain 14RO12, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 16	KU519391	NC_030796	KU519391	Bos taurus papillomavirus 16, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 17	KU519392	NC_030797	KU519392	Bos taurus papillomavirus 17, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 18	KU519393	NC_030798	KU519393	Bos taurus papillomavirus 18, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 19	KU519394	NC_030799	KU519394	Bos taurus papillomavirus 19, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 20	KU519395	NC_030800	KU519395	Bos taurus papillomavirus 20, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Bos taurus papillomavirus 21	KU519396	NC_030801	KU519396	Bos taurus papillomavirus 21, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Canine papillomavirus 10	JF800657	NC_016075	JF800657	Canine papillomavirus 10, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Canine papillomavirus 14	JQ701802	NC_019852	JQ701802	Canine papillomavirus 14 from Switzerland, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Canine papillomavirus 16	KP099966	NC_026640	KP099966	Canine papillomavirus 16 isolate Chana, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Canine papillomavirus 9	JF800656	NC_016074	JF800656	Canine papillomavirus 9, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Equus caballus papillomavirus 8	KU963288	NC_031756	KU963288	Equus caballus papillomavirus 8 strain NCSU, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Equus ferus caballus papillomavirus type 5	JQ031033	NC_020084	JQ031033	Equus ferus caballus papillomavirus type 5, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Equus ferus caballus papillomavirus type 7	JX035935	NC_020501	JX035935	Equus ferus caballus papillomavirus type 7, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Ferret papillomavirus	KF006988	NC_022253	KF006988	Ferret papillomavirus isolate MpPV1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Human papillomavirus	KP692117	NC_027779	KP692117	UNVERIFIED: Human papillomavirus isolate SE379, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Human papillomavirus type 136	HM999988	NC_017994	HM999988	Human papillomavirus type 136 isolate CL3865, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Human papillomavirus type 140	HM999992	NC_017996	HM999992	Human papillomavirus type 140 isolate NJ2801C1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Human papillomavirus type 154	JN211193	NC_021483	JN211193	Human papillomavirus type 154 isolate PV77, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Human papillomavirus type 179	HG421739	NC_022095	HG421739	Human papillomavirus type 179 complete genome, isolate SIBX16.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Papio hamadryas papillomavirus type 1	JF304764	NC_017716	JF304764	Papio hamadryas papillomavirus type 1 isolate Mac2085, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Phocoena phocoena papillomavirus 1	GU117621	NC_018074	GU117621	Phocoena phocoena papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Rattus norvegicus papillomavirus 3	KT945134	NC_028492	KT945134	Rattus norvegicus papillomavirus 3 isolate Rat_60S, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Sparus aurata papillomavirus 1	KX643372	NC_030839	KX643372	Sparus aurata papillomavirus 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Trichechus manatus latirostris papillomavirus 2	JN709473	NC_016898	JN709473	Trichechus manatus latirostris papillomavirus 2 strain M09-20, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Unassigned	Papillomaviridae	Trichechus manatus papillomavirus 4	KP205503	NC_028267	KP205503	Trichechus manatus papillomavirus 4 strain TmPV-4, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Upsilonpapillomavirus	Papillomaviridae	Upsilonpapillomavirus 1 (Tursiops truncatus papillomavirus 1)	EU240894	NC_011109	EU240894	Tursiops truncatus papillomavirus type 1, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Upsilonpapillomavirus	Papillomaviridae	Upsilonpapillomavirus 2 (Tursiops truncatus papillomavirus 2)	AY956402	NC_008184	AY956402	Tursiops truncatus papillomavirus type 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Upsilonpapillomavirus	Papillomaviridae	Upsilonpapillomavirus 3 (Phocoena phocoena papillomavirus 2)	GU117622	NC_018075	GU117622	Phocoena phocoena papillomavirus 2, complete genome.	vertebrates
I_dsDNAviruses	Unassigned	Papillomaviridae		Xipapillomavirus	Papillomaviridae	Xipapillomavirus 1 (Bovine papillomavirus 3)	AF486184	NC_004197	AF486184	Bovine papillomavirus type 3, complete genome.	vertebrates
